signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
n,Under20p,moreP,same,under2p,2to9,OtoL,9226.0,-2.833,2.9061,-64.6354,-3.848,-2.126,-0.9356,0.0,-4.006,44.2829,0.0291
n,Under20p,moreP,same,under2p,2to9,LtoH,9226.0,6.246,6.5572,0.1439,3.15,4.9523,7.5957,325.3394,18.5253,726.2966,0.0445
n,Under20p,moreP,same,under2p,2to9,OC/LH,9226.0,-3.4473,48.1812,-99.2687,-43.0948,-5.2451,34.3827,100.0,0.1556,-0.9174,0.7748
n,Under20p,moreP,same,over2p,2to9,OtoC,2939.0,4944.1955,268078.8034,-80.0,-3.4473,-0.8267,1.8083,14533233.3333,54.2125,2939.0,0.0526
n,Under20p,moreP,same,over2p,2to9,OtoH,2939.0,14182.2891,768577.8587,0.0,1.3848,2.9586,6.0019,41666566.6667,54.2125,2939.0,0.0462
n,Under20p,moreP,same,over2p,2to9,OtoL,2939.0,-4.8019,6.0587,-83.3333,-5.9773,-3.4631,-1.7492,0.0,-5.8412,55.0409,0.0423
n,Under20p,moreP,same,over2p,2to9,LtoH,2939.0,21277.3862,1152867.6381,0.7992,5.0546,7.9747,12.1005,62499900.0,54.2125,2939.0,0.0705
n,Under20p,moreP,same,over2p,2to9,OC/LH,2939.0,-9.0631,46.3851,-98.0916,-46.3385,-12.6877,25.6443,100.0,0.324,-0.7186,0.7198
n,Over20p,moreN,diff,under2p,2to9,OtoC,20069.0,0.5939,4.0603,-28.312,-1.1319,0.5161,2.2535,62.2665,0.6015,10.782,0.0339
n,Over20p,moreN,diff,under2p,2to9,OtoH,20069.0,3.2372,4.041,0.0,1.1194,2.1656,4.0739,214.8674,10.8897,406.0448,0.0295
n,Over20p,moreN,diff,under2p,2to9,OtoL,20069.0,-3.1256,4.2173,-81.6102,-3.9625,-1.8555,-0.6263,0.0,-3.9554,28.747,0.0334
n,Over20p,moreN,diff,under2p,2to9,LtoH,20069.0,6.8286,8.1138,0.0,3.2247,4.8867,7.7909,447.6983,17.2774,686.231,0.0457
n,Over20p,moreN,diff,under2p,2to9,OC/LH,20068.0,11.7142,46.1136,-99.1886,-24.8459,13.3899,49.2946,100.0,-0.1064,-0.941,0.7414
n,Over20p,moreN,diff,over2p,2to9,OtoC,4012.0,2.1838,8.0806,-55.9792,-1.2505,1.2737,3.8771,198.4225,6.1757,113.4861,0.0513
n,Over20p,moreN,diff,over2p,2to9,OtoH,4012.0,6.4419,10.0025,0.0,1.9071,3.8952,6.9635,245.4381,7.5105,112.7893,0.0506
n,Over20p,moreN,diff,over2p,2to9,OtoL,4012.0,-4.0609,4.8557,-72.6776,-5.2995,-2.6467,-0.9884,0.0,-3.8433,30.7652,0.0431
n,Over20p,moreN,diff,over2p,2to9,LtoH,4012.0,11.3382,13.9715,0.5979,5.3632,7.9955,12.1559,290.5512,8.7382,127.8427,0.0679
n,Over20p,moreN,diff,over2p,2to9,OC/LH,4012.0,15.8375,43.8134,-99.3094,-17.7922,19.6078,51.5395,100.0,-0.2546,-0.7992,0.6933
n,Over20p,moreN,same,under2p,2to9,OtoC,46346.0,0.6043,3.9601,-26.2922,-1.0563,0.5247,2.2222,43.3289,0.4411,9.6849,0.0328
n,Over20p,moreN,same,under2p,2to9,OtoH,46346.0,2.9681,3.5911,0.0,0.8974,1.9374,3.7904,68.3959,4.2069,32.7539,0.0289
n,Over20p,moreN,same,under2p,2to9,OtoL,46346.0,-2.9597,4.3824,-99.9962,-3.5391,-1.5446,-0.5715,0.0,-4.276,32.8153,0.0297
n,Over20p,moreN,same,under2p,2to9,LtoH,46346.0,68.6425,13377.39,0.0,2.7541,4.3902,7.2383,2879900.0,215.2796,46345.5348,0.0448
n,Over20p,moreN,same,under2p,2to9,OC/LH,46344.0,13.1705,47.5918,-99.9943,-25.7113,15.6426,53.6185,100.0,-0.1697,-1.0095,0.7933
n,Over20p,moreN,same,over2p,2to9,OtoC,8751.0,3.605,8.0884,-39.1104,-0.6708,2.2353,6.27,169.0988,3.0576,38.1446,0.0694
n,Over20p,moreN,same,over2p,2to9,OtoH,8751.0,7.3801,9.9115,0.0,2.0016,4.5702,9.0349,285.456,6.8944,124.1489,0.0703
n,Over20p,moreN,same,over2p,2to9,OtoL,8751.0,-4.4728,5.9428,-98.4138,-5.7918,-2.2637,-0.8149,0.0,-3.2044,20.5587,0.0498
n,Over20p,moreN,same,over2p,2to9,LtoH,8751.0,13.75,68.655,1.0336,5.4065,8.6913,14.6254,6257.6159,86.0954,7821.2,0.0922
n,Over20p,moreN,same,over2p,2to9,OC/LH,8751.0,25.2136,45.3551,-98.1651,-9.6559,31.8522,62.5323,100.0,-0.3948,-0.7848,0.7219
n,Over20p,moreP,diff,under2p,2to9,OtoC,95.0,1.3747,5.3645,-10.9201,-1.6534,0.4796,3.2551,23.6425,1.3004,3.5951,0.0491
n,Over20p,moreP,diff,under2p,2to9,OtoH,95.0,5.6187,6.2152,0.0,1.5362,3.4467,7.5108,30.1659,2.1547,5.1606,0.0597
n,Over20p,moreP,diff,under2p,2to9,OtoL,95.0,-3.2061,3.257,-14.3886,-4.3616,-2.1873,-0.9109,0.0,-1.5116,1.7312,0.0345
n,Over20p,moreP,diff,under2p,2to9,LtoH,95.0,9.2425,7.4798,1.4493,4.3261,6.9531,10.7614,37.3134,1.81,3.0539,0.0644
n,Over20p,moreP,diff,under2p,2to9,OC/LH,95.0,10.2106,46.5588,-89.0799,-21.7613,11.0407,46.1832,98.6014,-0.2061,-0.7618,0.6794
n,Over20p,moreP,diff,over2p,2to9,OtoC,191.0,3.1407,9.7129,-20.3085,-1.2328,2.4638,6.9871,101.8231,5.5062,55.6803,0.0822
n,Over20p,moreP,diff,over2p,2to9,OtoH,191.0,8.228,9.7266,0.0,2.6644,6.8143,10.6122,108.0339,6.1736,58.5624,0.0795
n,Over20p,moreP,diff,over2p,2to9,OtoL,191.0,-4.8678,5.8846,-48.3333,-7.1519,-3.0412,-1.0976,0.0,-3.1673,16.5349,0.0605
n,Over20p,moreP,diff,over2p,2to9,LtoH,191.0,14.3985,15.7929,1.3256,7.3337,10.6015,17.3706,173.5484,6.7641,60.6331,0.1004
n,Over20p,moreP,diff,over2p,2to9,OC/LH,191.0,21.2422,45.6327,-92.0,-13.1884,28.3542,54.6346,97.8918,-0.403,-0.6945,0.6782
n,Over20p,moreP,same,under2p,2to9,OtoC,261.0,1.6914,5.1803,-17.3179,-0.264,1.5193,3.8263,28.6738,0.3351,3.9772,0.0409
n,Over20p,moreP,same,under2p,2to9,OtoH,261.0,4.9416,5.4824,0.0,1.6451,3.4596,6.1584,41.9355,2.9584,12.6297,0.0451
n,Over20p,moreP,same,under2p,2to9,OtoL,261.0,-2.9256,3.8645,-22.9493,-3.4779,-1.5705,-0.5714,0.0,-2.3735,6.1952,0.0291
n,Over20p,moreP,same,under2p,2to9,LtoH,261.0,8.2602,6.858,0.0,3.8828,6.067,10.471,54.0856,2.3208,8.5471,0.0659
n,Over20p,moreP,same,under2p,2to9,OC/LH,260.0,24.6401,48.8905,-98.4177,-3.938,34.6691,65.6492,100.0,-0.5784,-0.5821,0.6959
n,Over20p,moreP,same,over2p,2to9,OtoC,312.0,6.8273,42.3095,-44.4444,0.306,3.3232,7.2838,736.0,16.5647,286.1796,0.0698
n,Over20p,moreP,same,over2p,2to9,OtoH,312.0,16.2895,135.7807,0.0,2.7683,5.0367,10.5862,2400.0,17.5099,308.3441,0.0782
