signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,position_type,metric,value
n,Under20p,moreP,diff,under2p,2to9,롱,손실 중위값,-1.7794
n,Under20p,moreP,diff,under2p,2to9,숏,완전 익절,53.0072
n,Under20p,moreP,diff,under2p,2to9,숏,부분 익절,12.4323
n,Under20p,moreP,diff,under2p,2to9,숏,손실 전체,34.5605
n,Under20p,moreP,diff,under2p,2to9,숏,익절선보다 큰 손실,14.9719
n,Under20p,moreP,diff,under2p,2to9,숏,손실 평균,2.78
n,Under20p,moreP,diff,under2p,2to9,숏,손실 중위값,1.6002
n,Under20p,moreP,diff,over2p,2to9,양방향,양쪽 다 털기,33.9085
n,Under20p,moreP,diff,over2p,2to9,양방향,양쪽 부분 털기,4.5252
n,Under20p,moreP,diff,over2p,2to9,양방향,횡보,9.895
n,Under20p,moreP,diff,over2p,2to9,양방향,한쪽 박살,34.3791
n,Under20p,moreP,diff,over2p,2to9,롱,완전 익절,58.3444
n,Under20p,moreP,diff,over2p,2to9,롱,부분 익절,4.32
n,Under20p,moreP,diff,over2p,2to9,롱,손실 전체,37.3356
n,Under20p,moreP,diff,over2p,2to9,롱,익절선보다 큰 손실,21.2622
n,Under20p,moreP,diff,over2p,2to9,롱,손실 평균,-3.278
n,Under20p,moreP,diff,over2p,2to9,롱,손실 중위값,-2.3703
n,Under20p,moreP,diff,over2p,2to9,숏,완전 익절,65.6691
n,Under20p,moreP,diff,over2p,2to9,숏,부분 익절,9.0865
n,Under20p,moreP,diff,over2p,2to9,숏,손실 전체,25.2444
n,Under20p,moreP,diff,over2p,2to9,숏,익절선보다 큰 손실,13.1169
n,Under20p,moreP,diff,over2p,2to9,숏,손실 평균,3.8543
n,Under20p,moreP,diff,over2p,2to9,숏,손실 중위값,2.0862
n,Under20p,moreP,same,under2p,2to9,양방향,양쪽 다 털기,20.995
n,Under20p,moreP,same,under2p,2to9,양방향,양쪽 부분 털기,5.0618
n,Under20p,moreP,same,under2p,2to9,양방향,횡보,17.7217
n,Under20p,moreP,same,under2p,2to9,양방향,한쪽 박살,33.9909
n,Under20p,moreP,same,under2p,2to9,롱,완전 익절,50.4119
n,Under20p,moreP,same,under2p,2to9,롱,부분 익절,9.9718
n,Under20p,moreP,same,under2p,2to9,롱,손실 전체,39.6163
n,Under20p,moreP,same,under2p,2to9,롱,익절선보다 큰 손실,18.5021
n,Under20p,moreP,same,under2p,2to9,롱,손실 평균,-2.4223
n,Under20p,moreP,same,under2p,2to9,롱,손실 중위값,-1.8121
n,Under20p,moreP,same,under2p,2to9,숏,완전 익절,52.8615
n,Under20p,moreP,same,under2p,2to9,숏,부분 익절,11.0449
n,Under20p,moreP,same,under2p,2to9,숏,손실 전체,36.0936
n,Under20p,moreP,same,under2p,2to9,숏,익절선보다 큰 손실,15.4888
n,Under20p,moreP,same,under2p,2to9,숏,손실 평균,2.5825
n,Under20p,moreP,same,under2p,2to9,숏,손실 중위값,1.6656
n,Under20p,moreP,same,over2p,2to9,양방향,양쪽 다 털기,41.9871
n,Under20p,moreP,same,over2p,2to9,양방향,양쪽 부분 털기,3.3345
n,Under20p,moreP,same,over2p,2to9,양방향,횡보,4.2872
n,Under20p,moreP,same,over2p,2to9,양방향,한쪽 박살,33.9231
n,Under20p,moreP,same,over2p,2to9,롱,완전 익절,65.9748
n,Under20p,moreP,same,over2p,2to9,롱,부분 익절,2.654
n,Under20p,moreP,same,over2p,2to9,롱,손실 전체,31.3712
n,Under20p,moreP,same,over2p,2to9,롱,익절선보다 큰 손실,19.9388
n,Under20p,moreP,same,over2p,2to9,롱,손실 평균,-3.9457
n,Under20p,moreP,same,over2p,2to9,롱,손실 중위값,-2.7802
n,Under20p,moreP,same,over2p,2to9,숏,완전 익절,71.7251
n,Under20p,moreP,same,over2p,2to9,숏,부분 익절,4.5253
n,Under20p,moreP,same,over2p,2to9,숏,손실 전체,23.7496
n,Under20p,moreP,same,over2p,2to9,숏,익절선보다 큰 손실,13.9843
n,Under20p,moreP,same,over2p,2to9,숏,손실 평균,4.5674
n,Under20p,moreP,same,over2p,2to9,숏,손실 중위값,2.3664
n,Over20p,moreN,diff,under2p,2to9,양방향,양쪽 다 털기,19.129
n,Over20p,moreN,diff,under2p,2to9,양방향,양쪽 부분 털기,6.0691
n,Over20p,moreN,diff,under2p,2to9,양방향,횡보,17.983
n,Over20p,moreN,diff,under2p,2to9,양방향,한쪽 박살,33.5991
n,Over20p,moreN,diff,under2p,2to9,롱,완전 익절,53.4356
n,Over20p,moreN,diff,under2p,2to9,롱,부분 익절,14.1014
n,Over20p,moreN,diff,under2p,2to9,롱,손실 전체,32.463
n,Over20p,moreN,diff,under2p,2to9,롱,익절선보다 큰 손실,13.4785
n,Over20p,moreN,diff,under2p,2to9,롱,손실 평균,-2.4989
n,Over20p,moreN,diff,under2p,2to9,롱,손실 중위값,-1.5752
n,Over20p,moreN,diff,under2p,2to9,숏,완전 익절,47.7104
n,Over20p,moreN,diff,under2p,2to9,숏,부분 익절,8.4608
n,Over20p,moreN,diff,under2p,2to9,숏,손실 전체,43.8288
n,Over20p,moreN,diff,under2p,2to9,숏,익절선보다 큰 손실,20.1206
n,Over20p,moreN,diff,under2p,2to9,숏,손실 평균,2.6662
n,Over20p,moreN,diff,under2p,2to9,숏,손실 중위값,1.7758
n,Over20p,moreN,diff,over2p,2to9,양방향,양쪽 다 털기,36.5404
n,Over20p,moreN,diff,over2p,2to9,양방향,양쪽 부분 털기,5.2094
n,Over20p,moreN,diff,over2p,2to9,양방향,횡보,3.9631
n,Over20p,moreN,diff,over2p,2to9,양방향,한쪽 박살,38.7089
n,Over20p,moreN,diff,over2p,2to9,롱,완전 익절,73.9033
n,Over20p,moreN,diff,over2p,2to9,롱,부분 익절,5.0349
n,Over20p,moreN,diff,over2p,2to9,롱,손실 전체,21.0618
n,Over20p,moreN,diff,over2p,2to9,롱,익절선보다 큰 손실,13.2851
n,Over20p,moreN,diff,over2p,2to9,롱,손실 평균,-3.3594
n,Over20p,moreN,diff,over2p,2to9,롱,손실 중위값,-2.864
n,Over20p,moreN,diff,over2p,2to9,숏,완전 익절,58.674
n,Over20p,moreN,diff,over2p,2to9,숏,부분 익절,3.8136
n,Over20p,moreN,diff,over2p,2to9,숏,손실 전체,37.5125
n,Over20p,moreN,diff,over2p,2to9,숏,익절선보다 큰 손실,25.4237
n,Over20p,moreN,diff,over2p,2to9,숏,손실 평균,4.8621
n,Over20p,moreN,diff,over2p,2to9,숏,손실 중위값,3.1211
n,Over20p,moreN,same,under2p,2to9,양방향,양쪽 다 털기,15.0261
n,Over20p,moreN,same,under2p,2to9,양방향,양쪽 부분 털기,4.6822
n,Over20p,moreN,same,under2p,2to9,양방향,횡보,24.2977
n,Over20p,moreN,same,under2p,2to9,양방향,한쪽 박살,34.9005
n,Over20p,moreN,same,under2p,2to9,롱,완전 익절,48.7054
n,Over20p,moreN,same,under2p,2to9,롱,부분 익절,17.0673
n,Over20p,moreN,same,under2p,2to9,롱,손실 전체,34.2273
n,Over20p,moreN,same,under2p,2to9,롱,익절선보다 큰 손실,13.6776
n,Over20p,moreN,same,under2p,2to9,롱,손실 평균,-2.4238
n,Over20p,moreN,same,under2p,2to9,롱,손실 중위값,-1.495
n,Over20p,moreN,same,under2p,2to9,숏,완전 익절,42.023
n,Over20p,moreN,same,under2p,2to9,숏,부분 익절,9.7765
n,Over20p,moreN,same,under2p,2to9,숏,손실 전체,48.2005
n,Over20p,moreN,same,under2p,2to9,숏,익절선보다 큰 손실,21.223
n,Over20p,moreN,same,under2p,2to9,숏,손실 평균,2.4664
n,Over20p,moreN,same,under2p,2to9,숏,손실 중위값,1.723
n,Over20p,moreN,same,over2p,2to9,양방향,양쪽 다 털기,34.7732
n,Over20p,moreN,same,over2p,2to9,양방향,양쪽 부분 털기,3.3368
n,Over20p,moreN,same,over2p,2to9,양방향,횡보,5.9193
n,Over20p,moreN,same,over2p,2to9,양방향,한쪽 박살,42.5209
n,Over20p,moreN,same,over2p,2to9,롱,완전 익절,75.02
