signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over1p,target,position_type,metric,value
n,Under20p,moreN,diff,under1p,2to9,양방향,양쪽 다 털기,13.6463
n,Under20p,moreN,diff,under1p,2to9,양방향,양쪽 부분 털기,5.1746
n,Under20p,moreN,diff,under1p,2to9,양방향,횡보,25.8054
n,Under20p,moreN,diff,under1p,2to9,양방향,한쪽 박살,31.5499
n,Under20p,moreN,diff,under1p,2to9,롱,완전 익절,43.7764
n,Under20p,moreN,diff,under1p,2to9,롱,부분 익절,14.2326
n,Under20p,moreN,diff,under1p,2to9,롱,손실 전체,41.991
n,Under20p,moreN,diff,under1p,2to9,롱,익절선보다 큰 손실,16.0773
n,Under20p,moreN,diff,under1p,2to9,롱,손실 평균,-2.0684
n,Under20p,moreN,diff,under1p,2to9,롱,손실 중위값,-1.4762
n,Under20p,moreN,diff,under1p,2to9,숏,완전 익절,44.0645
n,Under20p,moreN,diff,under1p,2to9,숏,부분 익절,14.3919
n,Under20p,moreN,diff,under1p,2to9,숏,손실 전체,41.5436
n,Under20p,moreN,diff,under1p,2to9,숏,익절선보다 큰 손실,15.4726
n,Under20p,moreN,diff,under1p,2to9,숏,손실 평균,2.2054
n,Under20p,moreN,diff,under1p,2to9,숏,손실 중위값,1.4122
n,Under20p,moreN,diff,over1p,2to9,양방향,양쪽 다 털기,23.266
n,Under20p,moreN,diff,over1p,2to9,양방향,양쪽 부분 털기,4.9944
n,Under20p,moreN,diff,over1p,2to9,양방향,횡보,15.3949
n,Under20p,moreN,diff,over1p,2to9,양방향,한쪽 박살,35.1529
n,Under20p,moreN,diff,over1p,2to9,롱,완전 익절,51.8659
n,Under20p,moreN,diff,over1p,2to9,롱,부분 익절,6.9317
n,Under20p,moreN,diff,over1p,2to9,롱,손실 전체,41.2024
n,Under20p,moreN,diff,over1p,2to9,롱,익절선보다 큰 손실,20.6057
n,Under20p,moreN,diff,over1p,2to9,롱,손실 평균,-2.6599
n,Under20p,moreN,diff,over1p,2to9,롱,손실 중위값,-2.0
n,Under20p,moreN,diff,over1p,2to9,숏,완전 익절,56.0051
n,Under20p,moreN,diff,over1p,2to9,숏,부분 익절,12.0057
n,Under20p,moreN,diff,over1p,2to9,숏,손실 전체,31.9892
n,Under20p,moreN,diff,over1p,2to9,숏,익절선보다 큰 손실,14.5472
