signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over1p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
n,Under20p,moreP,diff,over1p,2to9,OtoL,12334.0,-3.6406,3.7353,-80.0847,-4.8005,-2.6802,-1.3172,0.0,-4.1654,44.4935,0.0348
n,Under20p,moreP,diff,over1p,2to9,LtoH,12334.0,8.3745,9.3097,0.2908,3.9412,6.2873,10.0645,405.3191,12.8866,386.7186,0.0612
n,Under20p,moreP,diff,over1p,2to9,OC/LH,12334.0,-10.838,46.078,-99.0476,-48.9033,-16.0068,24.1081,100.0,0.3188,-0.8274,0.7301
n,Under20p,moreP,same,under1p,2to9,OtoC,6458.0,-0.0532,4.7803,-64.3357,-1.9459,-0.115,1.4688,231.992,17.9644,868.9385,0.0341
n,Under20p,moreP,same,under1p,2to9,OtoH,6458.0,2.9261,5.0089,0.0,0.7993,1.8951,3.6052,278.2696,27.4176,1423.4059,0.0281
n,Under20p,moreP,same,under1p,2to9,OtoL,6458.0,-2.6442,2.8027,-64.6354,-3.5921,-2.0,-0.8168,0.0,-4.402,55.5548,0.0278
n,Under20p,moreP,same,under1p,2to9,LtoH,6458.0,5.8208,6.5612,0.1439,2.8687,4.5592,7.0657,325.3394,22.6533,967.9894,0.042
n,Under20p,moreP,same,under1p,2to9,OC/LH,6458.0,-2.5637,48.859,-99.2687,-42.3533,-3.1458,36.3638,100.0,0.1281,-0.9148,0.7872
n,Under20p,moreP,same,over1p,2to9,OtoC,5707.0,2546.1037,192379.2929,-80.0,-2.9224,-0.5887,1.6859,14533233.3333,75.5447,5707.0,0.0461
n,Under20p,moreP,same,over1p,2to9,OtoH,5707.0,7305.375,551548.5329,0.0,1.1718,2.6523,5.2855,41666566.6667,75.5447,5707.0,0.0411
n,Under20p,moreP,same,over1p,2to9,OtoL,5707.0,-4.0605,4.9107,-83.3333,-5.2002,-2.9812,-1.46,0.0,-6.316,71.8005,0.0374
n,Under20p,moreP,same,over1p,2to9,LtoH,5707.0,10960.9731,827323.423,0.5446,4.4256,6.8197,10.3826,62499900.0,75.5447,5707.0,0.0596
n,Under20p,moreP,same,over1p,2to9,OC/LH,5707.0,-7.3392,46.4731,-98.5294,-45.4508,-10.945,27.9019,100.0,0.2714,-0.8289,0.7335
n,Over20p,moreN,diff,under1p,2to9,OtoC,15240.0,0.4983,3.8296,-28.312,-1.1815,0.4495,2.1074,34.3827,0.2861,7.8814,0.0329
n,Over20p,moreN,diff,under1p,2to9,OtoH,15240.0,3.0221,3.5397,0.0,1.0212,2.0101,3.8605,79.7101,4.8753,50.8255,0.0284
n,Over20p,moreN,diff,under1p,2to9,OtoL,15240.0,-3.0664,4.0935,-81.6102,-3.9557,-1.8576,-0.6096,0.0,-4.1247,33.3959,0.0335
n,Over20p,moreN,diff,under1p,2to9,LtoH,15240.0,6.5271,7.6822,0.0,3.0843,4.6924,7.4349,447.6983,18.6618,846.6548,0.0435
n,Over20p,moreN,diff,under1p,2to9,OC/LH,15239.0,11.1339,46.8882,-99.1886,-26.5173,12.3162,49.7096,100.0,-0.0743,-0.9749,0.7623
n,Over20p,moreN,diff,over1p,2to9,OtoC,8841.0,1.4802,6.4898,-55.9792,-1.0617,0.9381,3.2744,198.4225,5.7787,128.7458,0.0434
n,Over20p,moreN,diff,over1p,2to9,OtoH,8841.0,5.0623,7.8814,0.0,1.6409,3.1297,5.7651,245.4381,9.7785,196.3707,0.0412
n,Over20p,moreN,diff,over1p,2to9,OtoL,8841.0,-3.6521,4.7223,-72.6776,-4.5981,-2.1648,-0.7909,0.0,-3.661,24.6736,0.0381
n,Over20p,moreN,diff,over1p,2to9,LtoH,8841.0,9.3949,11.7802,0.5979,4.2501,6.634,10.5824,307.913,10.6584,203.7022,0.0633
n,Over20p,moreN,diff,over1p,2to9,OC/LH,8841.0,14.5856,43.6729,-99.3094,-18.7751,18.0177,49.5724,100.0,-0.2311,-0.8122,0.6835
n,Over20p,moreN,same,under1p,2to9,OtoC,33012.0,0.4139,3.7342,-26.2922,-1.12,0.4047,1.9174,43.3087,0.2332,11.6495,0.0304
n,Over20p,moreN,same,under1p,2to9,OtoH,33012.0,2.6467,3.29,0.0,0.7927,1.735,3.3275,68.3959,4.5839,39.3053,0.0253
n,Over20p,moreN,same,under1p,2to9,OtoL,33012.0,-2.8085,4.1935,-99.9962,-3.3965,-1.5129,-0.5718,0.0,-4.9033,45.4309,0.0282
n,Over20p,moreN,same,under1p,2to9,LtoH,33012.0,93.2801,15850.4518,0.0,2.5728,4.0177,6.4981,2879900.0,181.6907,33011.6751,0.0393
n,Over20p,moreN,same,under1p,2to9,OC/LH,33010.0,11.118,47.9914,-99.9943,-28.5185,12.9664,51.9838,100.0,-0.1269,-1.0365,0.805
n,Over20p,moreN,same,over1p,2to9,OtoC,22085.0,2.078,6.2714,-39.1104,-0.8105,1.2723,4.1261,169.0988,3.078,46.2482,0.0494
n,Over20p,moreN,same,over1p,2to9,OtoH,22085.0,5.1968,7.2387,0.0,1.4631,3.1832,6.248,285.456,7.9825,184.358,0.0478
n,Over20p,moreN,same,over1p,2to9,OtoL,22085.0,-3.7853,5.3107,-98.4138,-4.6154,-1.8427,-0.6478,0.0,-3.2558,18.8513,0.0397
n,Over20p,moreN,same,over1p,2to9,LtoH,22085.0,10.0643,43.7261,0.5543,4.0314,6.5527,11.115,6257.6159,132.2801,18874.4154,0.0708
n,Over20p,moreN,same,over1p,2to9,OC/LH,22085.0,21.0102,45.9917,-98.1651,-15.3999,26.3773,59.4609,100.0,-0.3174,-0.8734,0.7486
n,Over20p,moreP,diff,under1p,2to9,OtoC,52.0,1.449,6.0575,-10.9201,-1.6368,0.7181,3.1801,23.6425,1.3261,3.6532,0.0482
n,Over20p,moreP,diff,under1p,2to9,OtoH,52.0,5.2328,6.4085,0.0,1.551,3.2928,6.1829,30.1659,2.6626,7.7456,0.0463
n,Over20p,moreP,diff,under1p,2to9,OtoL,52.0,-3.6836,3.6879,-14.3886,-5.1521,-2.2336,-1.0347,0.0,-1.2778,0.7483,0.0412
n,Over20p,moreP,diff,under1p,2to9,LtoH,52.0,9.401,7.6606,1.7754,4.2936,6.9743,10.8989,37.3134,1.9295,3.7441,0.0661
n,Over20p,moreP,diff,under1p,2to9,OC/LH,52.0,14.4039,46.9796,-89.0799,-20.7998,22.1331,48.4056,98.6014,-0.2433,-0.8374,0.6921
n,Over20p,moreP,diff,over1p,2to9,OtoC,234.0,2.7997,9.0014,-20.3085,-1.3567,2.01,6.4678,101.8231,5.7384,62.4226,0.0782
n,Over20p,moreP,diff,over1p,2to9,OtoH,234.0,7.8343,9.1848,0.0,2.5255,6.5395,10.2157,108.0339,6.1157,60.9602,0.0769
n,Over20p,moreP,diff,over1p,2to9,OtoL,234.0,-4.4564,5.4939,-48.3333,-5.8979,-2.7471,-1.0621,0.0,-3.3636,18.8925,0.0484
n,Over20p,moreP,diff,over1p,2to9,LtoH,234.0,13.4158,14.7447,1.3256,6.9514,9.7427,16.8299,173.5484,6.9451,66.8073,0.0988
n,Over20p,moreP,diff,over1p,2to9,OC/LH,234.0,18.2832,46.0421,-92.0,-15.6143,24.4111,53.1896,97.8918,-0.3562,-0.7101,0.688
n,Over20p,moreP,same,under1p,2to9,OtoC,133.0,1.5254,5.421,-17.3179,-0.7449,1.4628,4.0865,28.6738,0.505,5.6681,0.0483
n,Over20p,moreP,same,under1p,2to9,OtoH,133.0,4.9055,5.5032,0.0,1.6824,3.5601,6.0694,41.9355,3.3143,16.6189,0.0439
n,Over20p,moreP,same,under1p,2to9,OtoL,133.0,-2.9557,3.8035,-18.5018,-3.5135,-1.5823,-0.5737,0.0,-2.2519,5.3021,0.0294
n,Over20p,moreP,same,under1p,2to9,LtoH,133.0,8.2653,7.1225,0.0,3.8536,6.079,10.471,54.0856,2.7226,12.4483,0.0662
n,Over20p,moreP,same,under1p,2to9,OC/LH,132.0,22.8243,50.8797,-98.4177,-15.3662,30.8228,66.6601,100.0,-0.4924,-0.7611,0.8203
n,Over20p,moreP,same,over1p,2to9,OtoC,440.0,5.3834,35.7811,-44.4444,0.2778,2.7369,6.1824,736.0,19.4837,398.4364,0.059
n,Over20p,moreP,same,over1p,2to9,OtoH,440.0,12.9991,114.4378,0.0,2.261,4.5984,9.2438,2400.0,20.7672,434.1034,0.0698
n,Over20p,moreP,same,over1p,2to9,OtoL,440.0,-3.5732,5.3659,-45.1389,-3.8392,-1.6978,-0.6159,0.0,-3.5633,18.1814,0.0322
n,Over20p,moreP,same,over1p,2to9,LtoH,440.0,17.5414,114.8093,1.0893,4.764,7.9534,14.3884,2400.0,20.458,425.2081,0.0962
n,Over20p,moreP,same,over1p,2to9,OC/LH,440.0,32.2626,45.6174,-96.6568,4.7973,41.4761,69.1507,100.0,-0.7654,-0.2285,0.6435
p,Under20p,moreN,diff,under1p,2to9,OtoC,16862.0,166.4327,21677.2396,-34.7222,-2.439,-0.6867,0.8922,2814870.5882,129.8538,16861.9986,0.0333
p,Under20p,moreN,diff,under1p,2to9,OtoH,16862.0,439.249,56623.9884,0.0,0.6034,1.754,3.7981,7352841.1765,129.8538,16861.9997,0.0319
p,Under20p,moreN,diff,under1p,2to9,OtoL,16862.0,-2.9018,2.7612,-88.2353,-3.8525,-2.226,-1.125,0.0,-4.0753,65.4446,0.0273
p,Under20p,moreN,diff,under1p,2to9,LtoH,16862.0,3712.8941,481309.8349,0.0,3.0072,4.8228,7.6791,62499900.0,129.8538,16862.0,0.0467
p,Under20p,moreN,diff,under1p,2to9,OC/LH,16861.0,-14.0953,47.991,-99.9544,-53.9902,-18.2588,20.6752,100.0,0.3467,-0.7429,0.7467
p,Under20p,moreN,diff,over1p,2to9,OtoC,9850.0,-0.7408,6.6058,-81.3725,-3.5737,-0.9754,1.5512,131.7597,2.8144,47.3619,0.0512
p,Under20p,moreN,diff,over1p,2to9,OtoH,9850.0,4.6019,7.0026,0.0,1.0143,2.6131,5.6463,152.0428,6.5595,80.5087,0.0463
p,Under20p,moreN,diff,over1p,2to9,OtoL,9850.0,-4.3965,4.2605,-81.4815,-5.9301,-3.3235,-1.6882,0.0,-3.3561,26.5123,0.0424
p,Under20p,moreN,diff,over1p,2to9,LtoH,9850.0,9.669,10.1695,0.0,4.7619,7.4461,11.5857,448.4314,12.8224,406.7454,0.0682
p,Under20p,moreN,diff,over1p,2to9,OC/LH,9849.0,-12.0424,46.8379,-98.9011,-50.9738,-16.589,23.4765,100.0,0.3265,-0.7996,0.7445
p,Under20p,moreN,same,under1p,2to9,OtoC,19527.0,-0.4825,4.6407,-44.2857,-2.5983,-0.8202,0.9362,120.3206,3.3126,46.2282,0.0353
p,Under20p,moreN,same,under1p,2to9,OtoH,19527.0,3.445,7.4447,0.0,0.6478,1.8109,4.1122,501.2024,33.2108,2036.5352,0.0346
p,Under20p,moreN,same,under1p,2to9,OtoL,19527.0,-3.0098,2.6747,-47.6667,-4.0312,-2.3599,-1.2364,0.0,-2.6417,15.4181,0.0279
p,Under20p,moreN,same,under1p,2to9,LtoH,19527.0,6.7473,10.2917,0.0,3.3472,5.1451,7.9615,1037.3976,58.8017,5447.694,0.0461
p,Under20p,moreN,same,under1p,2to9,OC/LH,19525.0,-15.0789,46.8124,-99.302,-53.8814,-21.3206,20.4278,100.0,0.3626,-0.8382,0.7431
p,Under20p,moreN,same,over1p,2to9,OtoC,18572.0,-0.9373,6.8626,-84.7415,-4.0761,-1.4644,1.3303,129.6474,2.1362,24.255,0.0541
p,Under20p,moreN,same,over1p,2to9,OtoH,18572.0,5.1073,8.9816,0.0,1.0294,2.7294,6.0279,505.3269,14.9754,596.2268,0.05
p,Under20p,moreN,same,over1p,2to9,OtoL,18572.0,-4.6296,4.1265,-85.1499,-6.126,-3.6867,-1.9654,0.0,-3.0795,24.6023,0.0416
p,Under20p,moreN,same,over1p,2to9,LtoH,18572.0,10.4584,13.1963,0.5965,5.2238,7.9543,12.2469,1037.3976,32.7457,2192.0009,0.0702
p,Under20p,moreN,same,over1p,2to9,OC/LH,18572.0,-16.187,46.1192,-98.7654,-54.3958,-23.4184,18.6328,100.0,0.4297,-0.7685,0.7303
p,Under20p,moreP,diff,under1p,2to9,OtoC,85844.0,-0.2258,3.9248,-69.1029,-2.0408,-0.4308,1.0526,156.3306,4.6547,108.3837,0.0309
p,Under20p,moreP,diff,under1p,2to9,OtoH,85844.0,2.7902,4.6698,0.0,0.5549,1.5976,3.3335,397.6303,14.8423,757.5913,0.0278
p,Under20p,moreP,diff,under1p,2to9,OtoL,85844.0,-2.434,2.2902,-72.1016,-3.2551,-1.9425,-0.9066,0.0,-2.9883,27.5271,0.0235
p,Under20p,moreP,diff,under1p,2to9,LtoH,85844.0,5.4071,5.3696,0.0,2.6316,4.1344,6.49,421.0918,13.988,650.5742,0.0386
p,Under20p,moreP,diff,under1p,2to9,OC/LH,85802.0,-10.3391,49.6815,-99.964,-51.4426,-13.0487,27.2336,100.0,0.2615,-0.8351,0.7868
p,Under20p,moreP,diff,over1p,2to9,OtoC,43349.0,-0.3656,5.9638,-76.3584,-2.7661,-0.5633,1.5405,467.4419,13.2604,914.031,0.0431
p,Under20p,moreP,diff,over1p,2to9,OtoH,43349.0,3.8664,6.6097,0.0,0.8643,2.2015,4.6236,504.6512,17.7046,927.3421,0.0376
p,Under20p,moreP,diff,over1p,2to9,OtoL,43349.0,-3.5771,3.632,-76.5657,-4.7578,-2.6489,-1.3112,0.0,-4.1265,43.4194,0.0345
p,Under20p,moreP,diff,over1p,2to9,LtoH,43349.0,7.9067,9.1602,0.0,3.8462,6.0,9.3771,543.5644,16.6752,594.285,0.0553
p,Under20p,moreP,diff,over1p,2to9,OC/LH,43347.0,-8.536,48.2855,-99.4569,-48.3267,-11.7664,28.606,100.0,0.2504,-0.855,0.7693
p,Under20p,moreP,same,under1p,2to9,OtoC,93431.0,-0.2348,4.1117,-63.9302,-2.0871,-0.5665,1.0758,128.7898,3.8637,66.7992,0.0316
p,Under20p,moreP,same,under1p,2to9,OtoH,93431.0,2.9824,4.9133,0.0,0.6263,1.6495,3.5957,233.1915,10.7219,280.4125,0.0297
p,Under20p,moreP,same,under1p,2to9,OtoL,93431.0,-2.5412,2.3265,-69.5005,-3.3965,-1.9943,-1.0154,0.0,-3.3943,36.8217,0.0238
p,Under20p,moreP,same,under1p,2to9,LtoH,93431.0,5.7217,5.6405,0.0,2.9418,4.4089,6.7774,284.7305,11.3953,321.5136,0.0384
p,Under20p,moreP,same,under1p,2to9,OC/LH,93423.0,-11.551,47.8409,-99.8668,-51.6435,-16.6182,26.6618,100.0,0.2725,-0.9549,0.7831
p,Under20p,moreP,same,over1p,2to9,OtoC,71266.0,36.3569,9854.0169,-89.1697,-3.3077,-0.9948,1.4422,2630596.9697,266.9568,71265.9431,0.0475
p,Under20p,moreP,same,over1p,2to9,OtoH,71266.0,110.8047,28377.8117,0.0,0.9398,2.476,5.342,7575657.5758,266.9569,71265.9897,0.044
p,Under20p,moreP,same,over1p,2to9,OtoL,71266.0,-3.9219,3.6818,-89.8917,-5.203,-3.0316,-1.5889,0.0,-3.5515,33.7369,0.0361
p,Under20p,moreP,same,over1p,2to9,LtoH,71266.0,885.9479,234119.7593,0.0,4.4059,6.7429,10.5484,62499900.0,266.9569,71265.9997,0.0614
p,Under20p,moreP,same,over1p,2to9,OC/LH,71263.0,-12.8549,47.3949,-99.2488,-52.2942,-18.4112,23.5802,100.0,0.3386,-0.8324,0.7587
p,Over20p,moreN,diff,under1p,2to9,OtoC,96.0,1.2164,7.4901,-15.748,-3.1497,0.7235,4.8512,35.8697,1.5182,5.9926,0.08
p,Over20p,moreN,diff,under1p,2to9,OtoH,96.0,6.0045,7.8861,0.0,1.381,3.4913,7.3495,41.1255,2.6669,8.1462,0.0597
p,Over20p,moreN,diff,under1p,2to9,OtoL,96.0,-4.2483,4.0667,-21.0359,-6.0771,-3.5758,-0.8934,0.0,-1.5814,3.1017,0.0518
p,Over20p,moreN,diff,under1p,2to9,LtoH,96.0,10.8111,8.1675,1.8411,6.0525,7.9926,12.7342,48.9367,2.2935,6.6744,0.0668
p,Over20p,moreN,diff,under1p,2to9,OC/LH,96.0,6.969,51.3639,-93.7775,-38.9182,10.3636,49.1278,100.0,-0.0872,-1.1324,0.8805
p,Over20p,moreN,diff,over1p,2to9,OtoC,299.0,6.2101,9.586,-30.4243,-0.0557,4.3358,12.1178,52.4762,0.8057,2.3888,0.1217
p,Over20p,moreN,diff,over1p,2to9,OtoH,299.0,11.4342,10.6319,0.0,3.454,9.2064,15.0209,61.9416,1.7063,3.6423,0.1157
p,Over20p,moreN,diff,over1p,2to9,OtoL,299.0,-4.5712,4.9375,-35.9629,-6.3913,-3.067,-1.147,0.0,-2.3872,8.8485,0.0524
p,Over20p,moreN,diff,over1p,2to9,LtoH,299.0,17.1578,13.6672,2.2271,7.9803,13.7864,20.72,83.4448,2.0476,5.0618,0.1274
p,Over20p,moreN,diff,over1p,2to9,OC/LH,299.0,31.0019,41.8557,-80.3613,-0.5388,40.7674,66.6012,97.973,-0.5548,-0.648,0.6714
p,Over20p,moreN,same,under1p,2to9,OtoC,66.0,1.2883,5.9002,-7.5983,-2.3888,0.4473,3.1605,24.4679,1.8014,4.6475,0.0555
p,Over20p,moreN,same,under1p,2to9,OtoH,66.0,5.2689,6.8187,0.0,1.4605,2.5463,5.6308,36.685,2.5618,7.5227,0.0417
p,Over20p,moreN,same,under1p,2to9,OtoL,66.0,-3.7062,3.4494,-16.0148,-5.1431,-2.3522,-1.4214,0.0,-1.6208,2.6469,0.0372
p,Over20p,moreN,same,under1p,2to9,LtoH,66.0,9.4248,7.6255,2.2581,4.5914,7.4054,11.7005,46.5175,2.4633,8.309,0.0711
p,Over20p,moreN,same,under1p,2to9,OC/LH,66.0,3.6101,45.2078,-88.2174,-37.197,11.016,38.6269,100.0,-0.0726,-0.9384,0.7582
p,Over20p,moreN,same,over1p,2to9,OtoC,223.0,1.7407,9.573,-25.2267,-2.977,0.0,5.0369,66.3583,2.5096,12.8543,0.0801
p,Over20p,moreN,same,over1p,2to9,OtoH,223.0,10.0929,16.0564,0.0,2.1896,5.2121,13.1946,177.877,6.0233,54.9501,0.1101
p,Over20p,moreN,same,over1p,2to9,OtoL,223.0,-5.474,5.294,-44.9227,-7.8097,-4.0947,-1.6565,0.0,-2.5595,13.4614,0.0615
p,Over20p,moreN,same,over1p,2to9,LtoH,223.0,16.6825,16.8829,1.89,8.4503,13.1619,19.5195,181.4456,5.4226,43.9044,0.1107
p,Over20p,moreN,same,over1p,2to9,OC/LH,223.0,1.5145,41.9638,-88.1287,-30.049,0.0,32.3822,85.719,-0.0816,-0.9014,0.6243
p,Over20p,moreP,diff,under1p,2to9,OtoC,13404.0,0.5391,2.9411,-26.2967,-1.0122,0.3731,2.0348,28.6633,0.494,6.5795,0.0305
p,Over20p,moreP,diff,under1p,2to9,OtoH,13404.0,2.7994,2.8842,0.0,1.0156,2.0152,3.7204,48.1266,3.5088,25.1564,0.027
p,Over20p,moreP,diff,under1p,2to9,OtoL,13404.0,-2.0756,2.0598,-28.4863,-2.9407,-1.4979,-0.6482,0.0,-2.5374,13.2806,0.0229
p,Over20p,moreP,diff,under1p,2to9,LtoH,13404.0,5.0157,3.4292,0.0,2.9693,4.2214,6.0003,53.25,3.6325,25.6868,0.0303
p,Over20p,moreP,diff,under1p,2to9,OC/LH,13402.0,8.7715,47.6126,-99.848,-27.8775,10.8924,48.3452,100.0,-0.1754,-0.9315,0.7622
p,Over20p,moreP,diff,over1p,2to9,OtoC,17219.0,1.2651,5.1569,-47.5235,-1.1072,0.7712,3.1132,178.8774,6.4627,177.7022,0.0422
p,Over20p,moreP,diff,over1p,2to9,OtoH,17219.0,4.1832,5.4843,0.0,1.3467,2.8099,5.2252,231.2073,9.9553,269.7146,0.0388
p,Over20p,moreP,diff,over1p,2to9,OtoL,17219.0,-2.9711,3.8674,-98.2235,-3.5759,-1.8762,-0.8542,0.0,-4.4834,43.7773,0.0272
p,Over20p,moreP,diff,over1p,2to9,LtoH,17219.0,7.9509,48.3747,0.5556,3.6334,5.5391,8.5466,6257.6159,125.3033,16182.6245,0.0491
p,Over20p,moreP,diff,over1p,2to9,OC/LH,17219.0,14.2217,47.0536,-98.5782,-22.9126,17.1307,54.2471,100.0,-0.2224,-0.9755,0.7716
p,Over20p,moreP,same,under1p,2to9,OtoC,11144.0,0.5235,3.0083,-35.2137,-0.9229,0.3176,1.858,48.4458,0.5083,13.5611,0.0278
p,Over20p,moreP,same,under1p,2to9,OtoH,11144.0,2.6909,2.9159,0.0,0.9006,1.832,3.527,49.9339,3.6603,28.7826,0.0263
p,Over20p,moreP,same,under1p,2to9,OtoL,11144.0,-2.1115,2.2643,-52.0897,-2.8243,-1.4859,-0.6602,0.0,-3.8729,40.0687,0.0216
p,Over20p,moreP,same,under1p,2to9,LtoH,11144.0,4.9593,3.8123,0.3276,2.7237,3.9366,6.0769,114.2917,5.243,82.7634,0.0335
p,Over20p,moreP,same,under1p,2to9,OC/LH,11144.0,8.998,45.9206,-98.3254,-27.514,9.8518,46.6667,100.0,-0.0783,-0.9587,0.7418
p,Over20p,moreP,same,over1p,2to9,OtoC,8677.0,0.9885,5.6882,-33.6018,-1.1402,0.8699,3.1088,298.1583,18.8465,918.9539,0.0425
p,Over20p,moreP,same,over1p,2to9,OtoH,8677.0,4.4996,6.5579,0.0,1.5474,3.2184,5.7363,311.6474,20.8133,793.9112,0.0419
p,Over20p,moreP,same,over1p,2to9,OtoL,8677.0,-3.2908,3.4913,-44.4649,-4.0744,-2.2921,-1.1085,0.0,-2.6535,11.3449,0.0297
p,Over20p,moreP,same,over1p,2to9,LtoH,8677.0,8.2023,8.2098,0.8592,4.3307,6.3823,9.6309,316.2471,15.2608,432.307,0.053
p,Over20p,moreP,same,over1p,2to9,OC/LH,8677.0,12.881,44.4944,-97.5904,-21.1948,15.1409,48.3329,100.0,-0.1627,-0.8636,0.6953
