signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over1p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
n,Under20p,moreN,diff,under1p,2to9,OtoC,48951.0,0.0219,3.4269,-48.0933,-1.5836,-0.0555,1.4339,51.9095,0.8543,15.3678,0.0302
n,Under20p,moreN,diff,under1p,2to9,OtoH,48951.0,2.5998,3.2346,0.0,0.7436,1.6938,3.3052,60.7018,4.6409,41.2882,0.0256
n,Under20p,moreN,diff,under1p,2to9,OtoL,48951.0,-2.3793,2.5845,-99.9966,-3.2018,-1.715,-0.7378,0.0,-4.7006,73.6299,0.0246
n,Under20p,moreN,diff,under1p,2to9,LtoH,48951.0,66.8918,13656.553,0.0,2.7185,4.1379,6.2674,3021500.0,221.2487,48950.9903,0.0355
n,Under20p,moreN,diff,under1p,2to9,OC/LH,48947.0,-0.3108,48.4727,-99.9722,-41.0246,-1.7702,39.5948,100.0,0.0825,-1.0413,0.8062
n,Under20p,moreN,diff,over1p,2to9,OtoC,66535.0,42.3648,11003.5123,-67.9054,-2.3994,-0.5064,1.3201,2838287.0968,257.9437,66534.9717,0.0372
n,Under20p,moreN,diff,over1p,2to9,OtoH,66535.0,124.7595,31264.2248,0.0,0.8045,2.1053,4.3031,8064416.129,257.9438,66534.9955,0.035
n,Under20p,moreN,diff,over1p,2to9,OtoL,66535.0,-3.1322,3.3444,-87.0968,-4.1626,-2.2901,-1.055,0.0,-4.3143,45.8054,0.0311
n,Under20p,moreN,diff,over1p,2to9,LtoH,66535.0,946.3993,242300.4346,0.0,3.3473,5.3724,8.4827,62499900.0,257.9438,66534.9999,0.0514
n,Under20p,moreN,diff,over1p,2to9,OC/LH,66533.0,-8.766,47.8907,-99.9056,-48.3447,-12.6315,28.1605,100.0,0.2637,-0.8558,0.7651
n,Under20p,moreN,same,under1p,2to9,OtoC,69690.0,0.0492,3.2867,-68.9071,-1.419,0.0,1.4184,52.2639,0.365,23.2753,0.0284
n,Under20p,moreN,same,under1p,2to9,OtoH,69690.0,2.3513,3.0176,0.0,0.6546,1.6063,2.9166,118.1923,5.99,89.8135,0.0226
n,Under20p,moreN,same,under1p,2to9,OtoL,69690.0,-2.2077,2.6442,-99.9735,-2.8883,-1.5757,-0.5647,0.0,-5.1226,73.7799,0.0232
n,Under20p,moreN,same,under1p,2to9,LtoH,69690.0,10.1922,1438.688,0.0,2.3586,3.6306,5.7529,379800.0,263.9844,69688.5197,0.0339
n,Under20p,moreN,same,under1p,2to9,OC/LH,69661.0,2.25,50.876,-99.9678,-38.3188,0.0,42.7575,100.0,0.0311,-0.891,0.8108
n,Under20p,moreN,same,over1p,2to9,OtoC,40329.0,617.1379,72497.1072,-75.0,-2.3314,-0.1534,1.8529,9658788.8889,120.0274,14668.033,0.0418
n,Under20p,moreN,same,over1p,2to9,OtoH,40329.0,1755.0778,206239.71,0.0,1.0391,2.3296,4.4376,27777677.7778,120.8272,14902.4147,0.034
n,Under20p,moreN,same,over1p,2to9,OtoL,40329.0,-3.4733,4.118,-78.125,-4.5455,-2.439,-1.071,0.0,-4.7901,45.0167,0.0347
n,Under20p,moreN,same,over1p,2to9,LtoH,40329.0,4656.8693,539039.2644,0.0,3.6534,5.747,8.9698,62499900.0,115.9353,13439.6664,0.0532
n,Under20p,moreN,same,over1p,2to9,OC/LH,40326.0,-2.1804,48.6115,-99.7466,-41.8371,-3.2452,35.7952,100.0,0.1448,-0.8751,0.7763
n,Under20p,moreP,diff,under1p,2to9,OtoC,6112.0,-0.1154,4.0863,-72.9965,-1.9981,-0.2873,1.3935,46.1909,0.5071,30.4483,0.0339
n,Under20p,moreP,diff,under1p,2to9,OtoH,6112.0,3.0439,4.1078,0.0,0.8291,1.8868,3.7338,89.8957,6.0652,79.7777,0.029
n,Under20p,moreP,diff,under1p,2to9,OtoL,6112.0,-2.7065,2.9373,-78.2979,-3.6084,-2.0379,-0.9338,0.0,-7.188,138.2125,0.0267
n,Under20p,moreP,diff,under1p,2to9,LtoH,6112.0,6.0635,7.9775,0.4212,3.1646,4.7336,7.237,364.7059,28.2527,1186.5028,0.0407
n,Under20p,moreP,diff,under1p,2to9,OC/LH,6112.0,-4.6123,47.6339,-98.4127,-44.4972,-8.0662,33.6119,100.0,0.1876,-0.9998,0.7811
n,Under20p,moreP,diff,over1p,2to9,OtoC,12334.0,-0.4152,5.722,-79.4138,-2.8053,-0.7415,1.3251,76.5878,1.8124,28.2436,0.0413
n,Under20p,moreP,diff,over1p,2to9,OtoH,12334.0,4.2294,6.4297,0.0,0.9278,2.3745,5.1226,124.7608,6.064,64.6777,0.0419
